,trade_id,signal_time,entry_fill_time,exit_time,type,position,entry,sl,tp,exit_price,result,highest_point,lowest_point,rr_ratio,pnl,pnl_points,lot_size,initial_balance_for_trade,balance_after_trade
72,73,2024-12-10 19:15:00+00:00,2024-12-10 19:20:00+00:00,,FVG_bullish,buy,21427.375,21406.77071,21489.18786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
73,74,2024-12-10 19:55:00+00:00,2024-12-10 20:00:00+00:00,,FVG_bullish,buy,21440.22,21420.34714,21499.83857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
74,75,2024-12-10 19:55:00+00:00,2024-12-10 20:00:00+00:00,,FVG_bullish,buy,21440.22,21420.34714,21499.83857,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
75,76,2024-12-10 21:50:00+00:00,2024-12-10 21:55:00+00:00,,FVG_bullish,buy,21375.945,21361.96857,21417.87429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
76,77,2024-12-12 03:55:00+00:00,2024-12-12 04:00:00+00:00,,FVG_bullish,buy,21718.615,21714.16857,21731.95429,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
77,78,2024-12-12 14:35:00+00:00,2024-12-12 14:40:00+00:00,,FVG_bullish,buy,21687.575,21679.99071,21710.32786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
78,79,2024-12-12 23:05:00+00:00,2024-12-12 23:10:00+00:00,,FVG_bullish,buy,21606.58,21590.18286,21655.77143,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
79,80,2024-12-16 11:15:00+00:00,2024-12-16 11:20:00+00:00,,FVG_bearish,sell,21805.765,21816.18071,21774.51786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
80,81,2024-12-16 13:55:00+00:00,2024-12-16 14:00:00+00:00,,FVG_bearish,sell,21841.49,21850.025,21815.885,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
81,82,2024-12-16 19:40:00+00:00,2024-12-16 19:45:00+00:00,,FVG_bearish,sell,22052.215,22069.06143,22001.67571,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
82,83,2024-12-16 21:40:00+00:00,2024-12-16 21:45:00+00:00,,FVG_bearish,sell,22109.26,22120.95214,22074.18357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
83,84,2024-12-16 22:10:00+00:00,2024-12-16 22:15:00+00:00,,FVG_bearish,sell,22115.18,22127.41214,22078.48357,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
84,85,2024-12-17 02:55:00+00:00,2024-12-17 03:00:00+00:00,,FVG_bullish,buy,22070.375,22064.56071,22087.81786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
85,86,2024-12-17 02:55:00+00:00,2024-12-17 03:00:00+00:00,,FVG_bullish,buy,22070.375,22064.56071,22087.81786,,,0.0,0.0,3.0,0.0,0.0,1.0,10000.0,10000.0
