Time,Symbol,Timeframe,Action,Entry Price,Exit Price,PnL,Drawdown,Bias
2025-03-18 14:45:00-04:00,XAUUSD,15min,buy,3029.73,3033.43,3.7,0.7,bullish
2025-03-18 15:45:00-04:00,XAUUSD,15min,buy,3033.43,3033.71,0.28,-3.48,bullish
2025-03-18 17:30:00-04:00,XAUUSD,15min,sell,3033.71,3035.22,-1.51,-11.51,bearish
2025-03-19 09:15:00-04:00,XAUUSD,15min,sell,3030.78,3032.16,-1.38,-6.92,bearish
2025-03-19 09:45:00-04:00,XAUUSD,15min,buy,3032.16,3037.02,4.86,1.28,bullish
2025-03-19 11:15:00-04:00,XAUUSD,15min,buy,3037.02,3044.34,7.32,-11.01,bullish
2025-03-20 08:30:00-04:00,XAUUSD,15min,sell,3044.34,3037.73,6.61,-0.39,bearish
2025-03-20 10:45:00-04:00,XAUUSD,15min,sell,3032.15,3036.84,-4.69,-10.04,bearish
2025-03-20 13:45:00-04:00,XAUUSD,15min,sell,3036.84,3029.81,7.03,-10.55,bearish
2025-03-21 06:15:00-04:00,XAUUSD,15min,buy,3029.81,3031.24,1.43,-2.77,bullish
2025-03-21 09:15:00-04:00,XAUUSD,15min,buy,3031.24,3031.06,-0.18,-0.59,bullish
2025-03-21 09:30:00-04:00,XAUUSD,15min,buy,3031.06,3010.6,-20.46,-31.47,bullish
2025-03-21 13:45:00-04:00,XAUUSD,15min,sell,3010.6,3021.01,-10.41,-15.48,bearish
2025-03-24 04:30:00-04:00,XAUUSD,15min,buy,3021.01,3023.2,2.19,-3.49,bullish
2025-03-24 06:00:00-04:00,XAUUSD,15min,buy,3023.2,3025.82,2.62,-2.13,bullish
2025-03-24 09:15:00-04:00,XAUUSD,15min,sell,3026.67,3016.88,9.79,-6.28,bearish
2025-03-25 04:45:00-04:00,XAUUSD,15min,buy,3016.88,3018.7,1.82,-6.18,bullish
2025-03-25 08:00:00-04:00,XAUUSD,15min,buy,3018.7,3021.85,3.15,0.12,bullish
2025-03-25 09:15:00-04:00,XAUUSD,15min,buy,3021.85,3025.3,3.45,-7.55,bullish
2025-03-25 13:30:00-04:00,XAUUSD,15min,buy,3025.3,3020.52,-4.78,-12.18,bullish
2025-03-26 08:00:00-04:00,XAUUSD,15min,buy,3020.52,3020.84,0.32,-3.64,bullish
2025-03-26 09:45:00-04:00,XAUUSD,15min,buy,3020.84,3025.26,4.42,2.28,bullish
2025-03-26 10:45:00-04:00,XAUUSD,15min,buy,3026.72,3033.78,7.06,-14.48,bullish
2025-03-27 07:30:00-04:00,XAUUSD,15min,buy,3033.78,3043.43,9.65,0.13,bullish
2025-03-27 10:00:00-04:00,XAUUSD,15min,buy,3048.55,3076.41,27.86,-14.99,bullish
2025-03-28 08:30:00-04:00,XAUUSD,15min,sell,3072.85,3075.38,-2.53,-6.96,bearish
2025-03-28 10:45:00-04:00,XAUUSD,15min,buy,3075.38,3076.98,1.6,-2.93,bullish
2025-03-28 11:45:00-04:00,XAUUSD,15min,buy,3076.98,3077.28,0.3,-9.43,bullish
2025-03-28 15:00:00-04:00,XAUUSD,15min,buy,3081.52,3120.24,38.72,-7.94,bullish
2025-03-31 07:15:00-04:00,XAUUSD,15min,buy,3120.24,3116.49,-3.75,-8.2,bullish
2025-03-31 10:00:00-04:00,XAUUSD,15min,buy,3116.49,3115.66,-0.83,-16.71,bullish
2025-03-31 14:30:00-04:00,XAUUSD,15min,sell,3115.66,3118.68,-3.02,-4.87,bearish
2025-03-31 15:45:00-04:00,XAUUSD,15min,sell,3118.68,3138.47,-19.79,-30.26,bearish
2025-04-01 05:30:00-04:00,XAUUSD,15min,sell,3138.47,3129.8,8.67,0.81,bearish
2025-04-01 07:30:00-04:00,XAUUSD,15min,sell,3129.8,3111.2,18.6,-9.16,bearish
2025-04-01 16:30:00-04:00,XAUUSD,15min,sell,3111.2,3127.69,-16.49,-24.39,bearish
2025-04-02 08:00:00-04:00,XAUUSD,15min,buy,3127.69,3121.42,-6.27,-17.59,bullish
2025-04-02 10:15:00-04:00,XAUUSD,15min,sell,3121.42,3128.24,-6.82,-12.58,bearish
2025-04-02 16:00:00-04:00,XAUUSD,15min,buy,3128.24,3127.07,-1.17,-23.49,bullish
2025-04-03 07:00:00-04:00,XAUUSD,15min,sell,3127.07,3083.25,43.82,-4.25,bearish
2025-04-03 12:45:00-04:00,XAUUSD,15min,sell,3083.25,3101.95,-18.7,-52.0,bearish
2025-04-03 14:00:00-04:00,XAUUSD,15min,buy,3101.95,3090.85,-11.1,-23.5,bullish
2025-04-04 08:15:00-04:00,XAUUSD,15min,sell,3090.85,3086.58,4.27,-2.72,bearish
2025-04-04 08:30:00-04:00,XAUUSD,15min,sell,3086.58,3031.09,55.49,-49.7,bearish
2025-04-07 10:00:00-04:00,XAUUSD,15min,buy,3031.09,2998.44,-32.65,-74.53,bullish
2025-04-08 04:15:00-04:00,XAUUSD,15min,buy,2998.44,3008.38,9.94,1.12,bullish
